,브랜드,언급량,제품수,총판매량,제품당판매량
0,B002-00001,325.7883499999995,1,343,343.0
1,B002-00002,5328.935879999998,3,3213,1071.0
2,B002-00003,336.40628999999996,12,16885,1407.0833333333333
3,B002-00005,862.5013200000004,12,20413,1701.0833333333333
4,B002-00006,72.87047764300009,1,675,675.0
5,B002-00007,1145.0926763370014,1,1872,1872.0
6,B002-00008,0.0,1,1303,1303.0
7,B002-00009,282.0950240940001,1,12,12.0
8,B002-00010,392.1793700000017,1,3975,3975.0
9,B002-00011,3248.8953399999978,1,165,165.0
10,B002-00012,276.9488199999986,1,208,208.0
11,B002-00013,1248.32961,2,5079,2539.5
12,B002-00015,23752.310892930007,2,307,153.5
13,B002-00016,26.729033292999926,1,19,19.0
14,B002-00017,49.529238901999975,1,94314,94314.0
15,B002-00018,2625.83177,1,3,3.0
16,B002-00020,56.51096999999993,3,4577,1525.6666666666667
17,B002-00021,0.49315000000000003,1,126,126.0
18,B002-00022,64.89487,1,383,383.0
19,B002-00024,36.929020000000016,2,7215,3607.5
20,B002-00025,399.12752000000097,3,2746,915.3333333333334
21,B002-00026,591.7730800000012,1,2,2.0
22,B002-00027,36.378629999999966,4,2957,739.25
23,B002-00028,66.37456999999979,1,146,146.0
24,B002-00029,1471.2480999999968,5,1033,206.6
25,B002-00030,515.4170200000017,2,6,3.0
26,B002-00031,867.6942300000002,10,3693,369.3
27,B002-00035,39.03232999999999,1,2,2.0
28,B002-00036,2.857369999999998,1,1744,1744.0
29,B002-00037,2373.2353199999984,1,181,181.0
30,B002-00038,1251.1581399999989,3,67,22.333333333333332
31,B002-00039,256.4671599999984,1,2,2.0
32,B002-00040,132.21417999999906,1,1310,1310.0
33,B002-00042,0.42056683999999994,1,995,995.0
34,B002-00043,767.9493645729997,9,641,71.22222222222223
35,B002-00044,13295.986745350003,1,19,19.0
36,B002-00045,0.652641444,1,30,30.0
37,B002-00046,229.85244016799984,1,51,51.0
38,B002-00048,1767.3893346920008,1,48,48.0
39,B002-00049,9360.219077726008,1,744,744.0
40,B002-00051,3.756669999999998,2,8082,4041.0
41,B002-00052,185.56498999999886,1,84,84.0
42,B002-00053,78.84967999999999,2,16462,8231.0
43,B002-00054,606.7685545520005,2,660,330.0
44,B002-00055,17190.04119212,2,805,402.5
45,B002-00056,20.350039480999985,3,813,271.0
46,B002-00059,1264.619019999999,2,9136,4568.0
47,B002-00060,1.3634299999999997,18,26770,1487.2222222222222
48,B002-00061,7.26679,1,356,356.0
49,B002-00062,202.43465999999896,2,1335,667.5
50,B002-00063,96.4875799999994,2,2060,1030.0
51,B002-00064,200.8970799999988,2,1988,994.0
52,B002-00065,108.99106999999931,1,116,116.0
53,B002-00066,218.8113299999987,6,7601,1266.8333333333333
54,B002-00067,779.4000500000003,61,100953,1654.967213114754
55,B002-00068,158.59933999999922,1,3037,3037.0
56,B002-00069,30.445240000000066,1,1450,1450.0
57,B002-00070,169.54691716500014,13,58966,4535.846153846154
58,B002-00071,846.6529476229994,14,57390,4099.285714285715
59,B002-00072,38.856179347,8,3977,497.125
60,B002-00073,3096.7873362749974,1,204,204.0
61,B002-00074,9.210430000000008,1,3948,3948.0
62,B002-00075,304.1462799999989,1,385,385.0
63,B002-00076,0.11604,1,29,29.0
64,B002-00079,594.8655922889996,1,1269,1269.0
65,B002-00080,1074.2278633229957,24,175103,7295.958333333333
66,B002-00081,8.209081956000002,4,83365,20841.25
67,B002-00083,887.5365785830002,1,8721,8721.0
68,B002-00084,588.7548635170003,1,890,890.0
69,B002-00085,71.02959667600001,18,144387,8021.5
70,B002-00087,301.3309787790003,18,43313,2406.277777777778
71,B002-00088,232.48850128200058,1,3594,3594.0
72,B002-00089,116.06863970699983,2,139,69.5
73,B002-00090,0.08703,1,630,630.0
74,B002-00091,105.78552999999927,1,383,383.0
75,B002-00092,749.0548299999992,9,53177,5908.555555555556
76,B002-00093,98.46013999999934,2,419,209.5
77,B002-00094,320.7127463979996,1,2392,2392.0
78,B002-00095,39.09070278800001,15,29147,1943.1333333333334
79,B002-00098,299.2000299999999,8,55738,6967.25
80,B002-00099,370.7548899999992,1,120,120.0
81,B002-00100,1445.1383799999996,2,3853,1926.5
82,B002-00102,172.20550999999895,1,3,3.0
83,B002-00103,1532.0401099999995,1,2735,2735.0
84,B002-00104,360.42710999999986,1,376,376.0
85,B002-00105,11.560190000000015,1,417,417.0
86,B002-00106,46.651549457999934,9,10137,1126.3333333333333
87,B002-00107,22977.459504000002,40,161054,4026.35
88,B002-00108,17.268398725000004,1,148,148.0
89,B002-00109,74.49628260099983,5,6915,1383.0
90,B002-00110,466.382134144,67,162158,2420.268656716418
91,B002-00111,15430.747458896007,1,653,653.0
92,B002-00112,28.87862950799991,2,314,157.0
93,B002-00113,3657.449595734998,8,3540965,442620.625
94,B002-00114,57.45471999999984,1,119,119.0
95,B002-00117,0.0,1,5893,5893.0
96,B002-00119,996.5142451359994,1,55,55.0
97,B002-00121,5665.100938630002,5,4991,998.2
98,B002-00122,186.8308792280003,1,18,18.0
99,B002-00123,108.09610570399981,1,187,187.0
100,B002-00124,10498.299628650004,3,586,195.33333333333334
101,B002-00125,214.01381465399982,3,1056,352.0
102,B002-00126,72.03146999999984,7,108551,15507.285714285714
103,B002-00127,12.038790000000018,21,120681,5746.714285714285
104,B002-00128,1227.0646799999984,1,29,29.0
105,B002-00131,5305.8577797840035,1,5,5.0
106,B002-00132,31.439753315,1,69,69.0
107,B002-00133,475.17609629299955,1,170,170.0
108,B002-00134,16.897780000000036,2,104316,52158.0
109,B002-00135,989.2637199999986,2,40,20.0
110,B002-00136,434.8541299999995,1,125,125.0
111,B002-00137,201.89790999999906,1,21,21.0
112,B002-00138,287.1459499999987,1,59,59.0
113,B002-00139,1.6100499999999995,1,1799,1799.0
114,B002-00140,0.13054,1,11,11.0
115,B002-00141,574.8889200000013,1,24,24.0
116,B002-00142,0.40612,8,6207,775.875
117,B002-00144,43.253439999999905,2,5066,2533.0
118,B002-00145,9.732540000000009,1,4885,4885.0
119,B002-00146,191.59901999999863,4,124,31.0
120,B002-00147,131.27120999999912,1,91,91.0
121,B002-00148,350.1863399999996,1,179,179.0
122,B002-00149,5826.774660000005,64,143491,2242.046875
123,B002-00150,181.38744999999898,1,1375,1375.0
124,B002-00152,1.3053799999999998,3,1031,343.6666666666667
125,B002-00153,343.87639999999976,3,3319,1106.3333333333333
126,B002-00154,331.5903299999989,2,280,140.0
127,B002-00155,4.003229999999998,1,3896,3896.0
128,B002-00157,83.79530999999969,1,11319,11319.0
129,B002-00158,41945.686884419985,4,305,76.25
130,B002-00159,115.0538727180001,3,144,48.0
131,B002-00160,683.5457941799998,4,1555,388.75
132,B002-00162,815.6984390779996,1,462,462.0
133,B002-00163,47.397731170999904,6,7918,1319.6666666666667
134,B002-00164,16068.58351849,19,115796,6094.526315789473
135,B002-00165,514.2183765529991,1,31,31.0
136,B002-00166,19.390702840000014,1,262,262.0
137,B002-00168,622.7429616510004,1,12,12.0
138,B002-00169,86.09752404500024,1,650,650.0
139,B002-00171,15918.341778749003,11,5430,493.6363636363636
140,B002-00172,307.57048138899984,1,0,0.0
141,B002-00174,147.4684075690001,2,336,168.0
142,B002-00175,1682.6714229349998,1,590,590.0
143,B002-00176,371.80797604099996,1,473,473.0
144,B002-00177,107.08567681699991,1,32,32.0
145,B002-00178,10018.30368,1,336,336.0
146,B002-00179,24.875740000000036,1,42,42.0
147,B002-00180,439.32172000000025,1,33,33.0
148,B002-00182,250.8971299999985,1,38,38.0
149,B002-00183,296.18278000000055,2,503,251.5
150,B002-00185,588.13235,12,43724,3643.6666666666665
151,B002-00186,1044.1810299999988,1,49,49.0
152,B002-00187,152.36210999999892,2,776,388.0
153,B002-00188,17.71013000000002,2,436,218.0
154,B002-00189,2107.671099999999,1,823,823.0
155,B002-00190,38.75688999999999,3,2221,740.3333333333334
156,B002-00191,613.6328199999996,1,337,337.0
157,B002-00192,2024.4537900000005,1,13,13.0
158,B002-00193,120.89985999999914,1,15,15.0
159,B002-00194,2847.8509100000024,1,871,871.0
160,B002-00195,12.517460000000026,2,24508,12254.0
161,B002-00196,90.90294999999956,5,13056,2611.2
162,B002-00197,3050.403769999998,12,12959,1079.9166666666667
163,B002-00198,104.42181999999936,2,661,330.5
164,B002-00199,415.8956000000014,2,14,7.0
165,B002-00200,248.38768999999843,2,13510,6755.0
166,B002-00201,379.44367000000017,5,48554,9710.8
167,B002-00202,6795.080470000001,6,11183,1863.8333333333333
168,B002-00204,31.620140000000067,1,4150,4150.0
169,B002-00205,36.87095000000001,1,5523,5523.0
170,B002-00206,3633.089655055001,3,14111,4703.666666666667
171,B002-00208,508.4257438579998,3,680,226.66666666666666
172,B002-00209,1558.993054826996,1,62,62.0
173,B002-00210,83.85314999999972,7,14085,2012.142857142857
174,B002-00212,685.260249999998,1,98,98.0
175,B002-00213,0.0,1,17,17.0
176,B002-00214,2049.780150000001,1,1436,1436.0
177,B002-00215,57.541109999999996,2,30033,15016.5
178,B002-00216,78.83475999999973,6,2838,473.0
179,B002-00219,1092.9191399999984,1,193,193.0
180,B002-00220,105.87244999999938,2,1489,744.5
181,B002-00222,517.43316,6,9624,1604.0
182,B002-00223,208.71539999999905,1,1142,1142.0
183,B002-00224,2054.566940000001,16,39976,2498.5
184,B002-00225,100.12843999999954,1,1510,1510.0
185,B002-00226,0.24658,1,172,172.0
186,B002-00227,1278.2250799999972,2,499845,249922.5
187,B002-00228,1982.4606599999977,1,67,67.0
188,B002-00229,301.433789999999,1,3,3.0
189,B002-00230,293.47027999999904,1,483,483.0
190,B002-00231,84.50715999999997,1,1639,1639.0
191,B002-00232,50.91190999999988,1,2126,2126.0
192,B002-00234,5549.6697820849995,1,11788,11788.0
193,B002-00235,137.475535945,2,880,440.0
194,B002-00236,206.60338551700016,1,153,153.0
195,B002-00237,985.0949733460008,1,76,76.0
196,B002-00238,1861.7759899999999,1,4246,4246.0
197,B002-00242,7535.790957271998,7,5339,762.7142857142857
198,B002-00243,136.69010266599977,1,7,7.0
199,B002-00244,208.10674722100015,51,1233495,24186.176470588234
200,B002-00245,32.67066132800001,9,253363,28151.444444444445
201,B002-00246,0.7977400000000001,19,100523,5290.684210526316
202,B002-00247,0.14504,1,7,7.0
203,B002-00248,356.1478899999994,3,7246,2415.3333333333335
204,B002-00249,169.94280999999881,1,2474,2474.0
205,B002-00250,652.5217300000002,4,19153,4788.25
206,B002-00251,1571.6396699999993,1,4651,4651.0
207,B002-00252,13.01065000000002,2,11422,5711.0
208,B002-00255,983.1133599999981,3,3144,1048.0
209,B002-00256,3.6986599999999985,2,15575,7787.5
210,B002-00257,99.01126999999937,1,562,562.0
211,B002-00258,569.9425000000008,3,6671,2223.6666666666665
212,B002-00259,167.24463999999878,10,7168,716.8
213,B002-00260,59.585899999999896,1,48,48.0
214,B002-00261,96.19754999999954,4,1004,251.0
215,B002-00262,847.4157700000025,1,24,24.0
216,B002-00264,1426.9051500000014,1,2,2.0
