,제품,제품특성,ID,대분류,중분류,소분류,브랜드
0,B002-02542-00001,매수:100매 특징:저자극 특징:무알코올 정수과정:6단계정수 :30팩 100매,11064,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-02542
1,B002-02650-00004,"타입:엠보싱 평량:63gsm 매수:70매 특징:저자극 정수과정:10단계정수 :10팩, 매수:100매 특징:저자극 특징:보습효과 정수과정:10단계정수 :3팩, 타입:엠보싱 평량:50gsm 매수:100매 특징:저자극 정수과정:10단계정수 :10팩 ",11406,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-02650
2,B002-02650-00005,"타입:엠보싱 평량:63gsm 매수:70매 특징:저자극 정수과정:10단계정수 :10팩, 매수:100매 특징:저자극 특징:보습효과 정수과정:10단계정수 :3팩, 타입:엠보싱 평량:50gsm 매수:100매 특징:저자극 정수과정:10단계정수 :10팩 ",11407,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-02650
3,B002-01225-00001,"형태:휴대용 매수:70매 타입:엠보싱 평량:55gsm :3팩, 형태:휴대용 타입:엠보싱 평량:55gsm 특징:무알코올 :10팩, 형태:휴대용 매수:10매 타입:엠보싱 평량:55gsm :10팩, 형태:캡형 매수:70매 타입:엠보싱 평량:55gsm :10팩, 형태:캡형 매수:70매 타입:엠보싱 평량:60gsm 특징:항균 특징:무알코올 :10팩 ",5172,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01225
4,B002-01225-00002,"타입:엠보싱 평량:60gsm 매수:74매 특징:저자극 특징:자연생분해 정수과정:6단계정수 :5팩, 타입:엠보싱 평량:60gsm 매수:72매 특징:자연생분해 정수과정:6단계정수 74매",5173,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01225
5,B002-01225-00003,타입:엠보싱 평량:60gsm 매수:10매 특징:자연생분해 정수과정:6단계정수 무첨가:무포름알데히드 :40팩 10매,5174,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-01225
6,B002-03073-00001,"타입:엠보싱 평량:77gsm 매수:70매 특징:저자극 특징:보습효과 정수과정:10단계정수 :10팩, 타입:엠보싱 평량:77gsm 매수:32매 특징:저자극 정수과정:10단계정수 :12팩, 타입:엠보싱 평량:80gsm 매수:70매 특징:무자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :10팩, 타입:엠보싱 평량:80gsm 매수:20매 특징:무자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :12팩 ",12967,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-03073
7,B002-03073-00003,"타입:엠보싱 평량:80gsm 매수:20매 특징:무자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :12팩, 타입:엠보싱 평량:77gsm 매수:20매 특징:무자극 특징:보습효과 정수과정:10단계정수 20매",12969,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-03073
8,B002-03073-00004,"타입:엠보싱 평량:80gsm 매수:70매 특징:무자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :10팩, 타입:엠보싱 평량:80gsm 매수:20매 특징:무자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :12팩 ",12970,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-03073
9,B002-03073-00005,"타입:엠보싱 평량:70gsm 매수:70매 특징:저자극 정수과정:10단계정수 인증:cGMP인증 인증:ISO인증 무첨가:무형광증백제 무첨가:무포름알데히드 무첨가:무파라벤 무첨가:무페녹시에탄올 무첨가:무인공향료 :10팩, 타입:엠보싱 평량:70gsm 매수:20매 특징:저자극 정수과정:10단계정수 인증:cGMP인증 인증:ISO인증 무첨가:무형광증백제 무첨가:무포름알데히드 무첨가:무파라벤 무첨가:무페녹시에탄올 무첨가:무인공향료 무첨가:무CMIT,MIT :12팩, 타입:엠보싱 평량:75gsm 매수:72매 특징:저자극 정수과정:10단계정수 인증:ISO인증 :10팩, 타입:엠보싱 평량:73gsm 매수:70매 특징:저자극 정수과정:10단계정수 :10팩, 타입:엠보싱 평량:82gsm 매수:72매 특징:저자극 정수과정:10단계정수 :10팩, 타입:엠보싱 평량:73gsm 매수:70매 특징:항균 특징:저자극 특징:보습효과 정수과정:10단계정수 인증:ISO인증 :20팩, 타입:엠보싱 평량:75gsm 매수:20매 특징:저자극 정수과정:10단계정수 인증:ISO인증 :12팩, 타입:엠보싱 평량:73gsm 매수:20매 특징:저자극 정수과정:10단계정수 :12팩, 타입:엠보싱 평량:75gsm 매수:30매 특징:저자극 정수과정:10단계정수 :12팩, 타입:엠보싱 평량:73gsm 매수:20매 특징:저자극 정수과정:10단계정수, 타입:엠보싱 평량:75gsm 매수:20매 특징:저자극 특징:무자극 정수과정:10단계정수 인증:ISO인증 :12팩, 타입:엠보싱 평량:73gsm 매수:70매 특징:저자극 특징:자연생분해 정수과정:10단계정수 인증:ISO인증, 타입:엠보싱 평량:75gsm 매수:72매 특징:저자극 정수과정:10단계정수 인증:ISO인증 ",12971,B002-C001-0002,B002-C002-0005,B002-C003-0025,B002-03073
